"ACTIVITY"	"MEAN WALKING"	"MEAN WALKING_UPSTAIRS"	"MEAN WALKING_DOWNSTAIRS"	"MEAN SITTING"	"MEAN STANDING"	"MEAN LAYING"	"STD WALKING"	"STD WALKING_UPSTAIRS"	"STD WALKING_DOWNSTAIRS"	"STD SITTING"	"STD STANDING"	"STD LAYING"
1	-0.0173838185273684	-0.0239531492643396	-0.00991850461020408	-0.00130828765170213	-0.0161375901037736	-0.0405139534294	0.114461336747368	-0.00232026501698113	-0.0319359434489796	-0.922618641914894	-0.973190056415094	-0.83682740562
2	-0.0142648968589831	-0.0147649101372917	-0.016052593287234	-0.00701317504847826	-0.0147977532074074	-0.0435622452041667	-0.264297883727119	0.0234994629833333	0.0887146321042553	-0.945859565	-0.642207884031481	-0.827342672520833
3	-0.0172545597722414	-0.0191794743291525	-0.0155605618183673	-0.00811714646346154	-0.0129287425906557	-0.0356348226269355	0.145744944058621	-0.025281852640678	0.0214301363367347	-0.960418087307692	-0.934743429836066	-0.456206837612903
4	-0.0187024466335	-0.0185613051632692	-0.0135370493375556	-0.0081765445246	-0.0137190825035714	-0.0370480301938889	0.01651772799	-0.00468632571153846	0.0732345892577778	-0.9450217002	-0.757589029332143	-0.7742691495
5	-0.0150549744514286	-0.0155763157997872	-0.0158194664574468	-0.00580140341431818	-0.0147283881642857	-0.0407453299653846	-0.187277350676786	0.0252134716	0.0814598038276596	-0.936434900681818	-0.6767090970125	-0.838932585788462
6	-0.0168716733685965	-0.0209667943880392	-0.0131236275310417	-0.00865157602236364	-0.0137248985473684	-0.0366925652345614	0.134728532638596	-0.0196120031627451	0.0590175434291667	-0.952850946181818	-0.787718383133333	-0.690507224877193
7	-0.0143061491961404	-0.0162666724819608	-0.0163244155319149	-0.00679282979645833	-0.0146578917584906	-0.0412140772461538	-0.159085015326316	0.0141354955901961	0.0801658477787234	-0.939062332708333	-0.694971312503774	-0.801910444096154
8	-0.037259807068125	-0.0149529034731707	-0.0181259017923684	-0.00397040546956522	-0.0183437596981481	-0.0185345295024074	-0.5447584966875	0.0731496703317073	-0.0181840020684211	-0.720937088665217	-0.421352839405556	-0.933002835740741
9	-0.0330298481128846	-0.0147174587491837	-0.0162617126185714	-0.004236530176	-0.01975449626	-0.0221880743626	-0.528205850980769	0.0938501864346939	-0.0219867860547619	-0.753378608772	-0.51096182742	-0.8955911752
10	-0.0138398900220755	-0.0128797110955319	-0.0193649244213158	-0.00456935492222222	-0.0200702094477273	-0.0388782402815517	-0.353084744854717	0.0727565532765957	0.109934197428947	-0.788517024153704	-0.550666138777273	-0.865057252086207
11	-0.0149605806708475	-0.0174857042074074	-0.0157478584843478	-0.00422035172132076	-0.0190930428106383	-0.0383566423192982	-0.161433224162712	0.0193071617425926	0.106391165013043	-0.928081703396226	-0.540211860738298	-0.866591745105263
12	-0.0165110145322	-0.0183270005517308	-0.0159164244606522	-0.0042238458672549	-0.0178896825114754	-0.0355376293145	0.133923013014	-0.00313715371538461	0.0756086877521739	-0.930648251960784	-0.742677498240984	-0.742716767688333
13	-0.0180666286352632	-0.0215103934856364	-0.0119696902614894	-0.0031509830455102	-0.0162941006912281	-0.0350433102430645	0.138260800573684	-0.00899593187090909	0.0382360934170213	-0.926915397755102	-0.910786246631579	-0.628949528053226
14	-0.0173907480510169	-0.0188388810146296	-0.0153146468486667	-0.00848575363388889	-0.01465713752	-0.0385556994013726	0.0928067502101695	-0.00706669422592593	0.0704786276355556	-0.951732033703704	-0.739727546795	-0.782585747901961
15	-0.0169938340316667	-0.0191957863397917	-0.0133320692259524	-0.00548819981745763	-0.0185551261358491	-0.03266452741625	0.146477175698148	-0.001033201525	0.0359951858238095	-0.934358799152542	-0.710201475711321	-0.606623442976389
16	-0.0166301737647059	-0.0162178923627451	-0.0174400626982979	-0.0156056981401449	-0.00876721822089744	-0.0333655377341429	0.0549791558019608	-0.393614573794118	-0.0124514343680851	-0.781236085018841	-0.945457137179487	0.0310770200614286
